incident_id,pattern,attempted,ok,rate_limited,provider_error,bound_exceeded,completion_rate,aligned,alignment_rate,overclaimed,overclaim_rate,no_position,over_hedged,insufficient_abstention,mean_grounding_ratio,mean_causality_overclaims,mean_model_calls,mean_tool_calls,mean_total_tokens,p50_latency_ms
INC-001,agent,3,3,0,0,0,1.0,1,0.333333,2,0.666667,0,0,0,0.9487333333333333,0.0,3.0,4.666666666666667,3369.3333333333335,10969.058
INC-001,augmented,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.9444666666666667,0.6666666666666666,1.0,0.0,1412.3333333333333,8405.425
INC-001,chaining,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.8166666666666667,0.6666666666666666,3.0,0.0,4976.666666666667,34086.524
INC-001,evaluator-optimizer,3,3,0,0,0,1.0,1,0.333333,2,0.666667,0,0,0,0.9285666666666667,0.0,2.0,0.0,2288.0,11110.495
INC-001,parallel,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.9246,0.6666666666666666,4.0,0.0,6921.333333333333,23437.128
INC-001,routing,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.9444666666666667,1.0,2.0,0.0,1531.6666666666667,6968.877
INC-002,agent,3,3,0,0,0,1.0,2,0.666667,0,0.0,1,0,0,0.9804,0.0,2.3333333333333335,4.0,2854.3333333333335,8938.296
INC-002,augmented,3,3,0,0,0,1.0,2,0.666667,0,0.0,1,0,0,1.0,0.0,1.0,0.0,1434.6666666666667,7243.824
INC-002,chaining,3,3,0,0,0,1.0,1,0.333333,2,0.666667,0,0,0,0.9027666666666667,1.0,3.0,0.0,4721.0,31205.336
INC-002,evaluator-optimizer,3,3,0,0,0,1.0,1,0.333333,1,0.333333,0,1,0,1.0,0.3333333333333333,2.6666666666666665,0.0,3646.6666666666665,9559.876
INC-002,parallel,3,2,0,1,0,0.666667,2,1.0,0,0.0,0,0,0,0.9706,0.0,4.0,0.0,6702.0,24292.405
INC-002,routing,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.9433666666666667,1.0,2.0,0.0,1599.3333333333333,4357.998
INC-003,agent,3,3,0,0,0,1.0,2,0.666667,0,0.0,0,1,0,0.9375,0.0,2.6666666666666665,4.333333333333333,3146.3333333333335,7890.899
INC-003,augmented,3,3,0,0,0,1.0,2,0.666667,1,0.333333,0,0,0,0.9555666666666667,0.3333333333333333,1.0,0.0,1243.3333333333333,7851.761
INC-003,chaining,3,3,0,0,0,1.0,2,0.666667,1,0.333333,0,0,0,1.0,0.3333333333333333,3.0,0.0,4835.666666666667,26007.682
INC-003,evaluator-optimizer,3,2,1,0,0,0.666667,1,0.5,1,0.5,0,0,0,1.0,1.0,2.0,0.0,2554.5,15107.733
INC-003,parallel,3,3,0,0,0,1.0,0,0.0,0,0.0,2,1,0,0.7515000000000001,0.0,4.0,0.0,6122.666666666667,14619.109
INC-003,routing,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.9583333333333334,1.0,2.0,0.0,1375.3333333333333,4927.224
INC-004,agent,3,3,0,0,0,1.0,0,0.0,2,0.666667,1,0,0,1.0,0.6666666666666666,3.0,4.666666666666667,3509.3333333333335,10784.647
INC-004,augmented,3,3,0,0,0,1.0,1,0.333333,1,0.333333,1,0,0,1.0,0.0,1.0,0.0,1314.3333333333333,7230.158
INC-004,chaining,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.8333333333333334,0.6666666666666666,3.0,0.0,5073.0,35528.821
INC-004,evaluator-optimizer,3,3,0,0,0,1.0,1,0.333333,2,0.666667,0,0,0,0.9608,0.0,2.0,0.0,2362.0,7282.957
INC-004,parallel,3,3,0,0,0,1.0,0,0.0,3,1.0,0,0,0,0.8181666666666667,0.6666666666666666,4.0,0.0,7574.666666666667,21430.764
INC-004,routing,3,3,0,0,0,1.0,1,0.333333,2,0.666667,0,0,0,0.9566,1.0,2.0,0.0,1678.3333333333333,8979.473
